Date,w_target_voo,w_target_ief,regime_label,p_tail_base,base_rate,raw_val_auc,optimizer,portfolio_vol_ann,view_confidence,edge,dead_band_hold,publish_mode,final_pass,deployment_mode
2023-01-30,0.4199999999502444,0.5800000000497556,high_vol,0.1985159646335769,0.2070645554202192,0.539828431372549,black_litterman_cvar,0.1244257359053153,0.4978553921568623,0.0085485907866423,1,NORMAL,1,
2023-01-31,0.4199999999502444,0.5800000000497556,high_vol,0.1920254571303688,0.2070645554202192,0.539828431372549,black_litterman_cvar,0.1245431042975372,0.4978553921568623,0.0150390982898503,1,NORMAL,1,
2023-02-01,0.4199999999502444,0.5800000000497556,high_vol,0.1871757882645744,0.2070645554202192,0.539828431372549,black_litterman_cvar,0.1249130117122828,0.4978553921568623,0.0198887671556448,1,NORMAL,1,
2023-02-02,0.4199999999502444,0.5800000000497556,high_vol,0.1948426580560438,0.2070645554202192,0.539828431372549,black_litterman_cvar,0.1240787128047312,0.4978553921568623,0.0122218973641753,1,NORMAL,1,
2023-02-03,0.6,0.4,crisis,0.1933810981536926,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0136834572665266,0,NORMAL,1,
2023-02-06,0.6,0.4,crisis,0.200279963236017,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0067845921842022,1,NORMAL,1,
2023-02-07,0.6,0.4,crisis,0.2006020100275367,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0064625453926825,1,NORMAL,1,
2023-02-08,0.6,0.4,crisis,0.1992088297350858,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0078557256851334,1,NORMAL,1,
2023-02-09,0.6,0.4,crisis,0.2090890035242447,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0020244481040254,1,NORMAL,1,
2023-02-10,0.6,0.4,crisis,0.2097996687440058,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0027351133237865,1,NORMAL,1,
2023-02-13,0.6,0.4,crisis,0.2098072474502864,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0027426920300671,1,NORMAL,1,
2023-02-14,0.6,0.4,crisis,0.2016972451085931,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0053673103116261,1,NORMAL,1,
2023-02-15,0.6,0.4,crisis,0.1927147541743577,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0143498012458614,1,NORMAL,1,
2023-02-16,0.6,0.4,crisis,0.1963752454647114,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0106893099555077,1,NORMAL,1,
2023-02-17,0.6,0.4,crisis,0.2012563879662618,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0058081674539574,1,NORMAL,1,
2023-02-20,0.6,0.4,crisis,0.2007650189541608,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0062995364660584,1,NORMAL,1,
2023-02-21,0.6,0.4,crisis,0.2089808141285235,0.2070645554202192,0.5,regime_gated_prior,,0.0,-0.0019162587083043,1,NORMAL,1,
2023-02-22,0.6,0.4,crisis,0.188153552351714,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0189110030685052,1,NORMAL,1,
2023-02-23,0.6,0.4,crisis,0.1883257358895866,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0187388195306326,1,NORMAL,1,
2023-02-24,0.6,0.4,crisis,0.1881898137536577,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0188747416665615,1,NORMAL,1,
2023-02-27,0.6,0.4,crisis,0.189183576192908,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0178809792273112,1,NORMAL,1,
2023-02-28,0.6,0.4,crisis,0.1913009884065817,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0157635670136375,1,NORMAL,1,
2023-03-01,0.6,0.4,crisis,0.1904830505724293,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0165815048477898,1,NORMAL,1,
2023-03-02,0.6,0.4,crisis,0.1927345992066372,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0143299562135819,1,NORMAL,1,
2023-03-03,0.6,0.4,crisis,0.1946485725518489,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0124159828683703,1,NORMAL,1,
2023-03-06,0.6,0.4,crisis,0.1930568388569825,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0140077165632367,1,NORMAL,1,
2023-03-07,0.6,0.4,crisis,0.1909516126920016,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0161129427282176,1,NORMAL,1,
2023-03-08,0.6,0.4,crisis,0.1932239764035035,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0138405790167157,1,NORMAL,1,
2023-03-09,0.6,0.4,crisis,0.1891846196024766,0.2070645554202192,0.5,regime_gated_prior,,0.0,0.0178799358177426,1,NORMAL,1,
2023-03-10,0.4378990147951327,0.5621009852048673,high_vol,0.1900755025782658,0.2070645554202192,0.5185751748251748,black_litterman_cvar,0.1207104629123959,0.2321896853146848,0.0169890528419534,0,NORMAL,1,
2023-03-13,0.4378990147951327,0.5621009852048673,high_vol,0.1885515773695456,0.2070645554202192,0.5185751748251748,black_litterman_cvar,0.1208521585680693,0.2321896853146848,0.0185129780506736,1,NORMAL,1,
2023-03-14,0.4468988067733611,0.553101193226639,high_vol,0.1858400922130879,0.2070645554202192,0.5185751748251748,black_litterman_cvar,0.1212855933303737,0.2321896853146848,0.0212244632071313,0,NORMAL,1,
2023-03-15,0.4468988067733611,0.553101193226639,high_vol,0.18810492375908,0.2070645554202192,0.5185751748251748,black_litterman_cvar,0.1209396078901582,0.2321896853146848,0.0189596316611392,1,NORMAL,1,
2023-03-16,0.4468988067733611,0.553101193226639,high_vol,0.1859729409168418,0.2070645554202192,0.5185751748251748,black_litterman_cvar,0.1209864608308267,0.2321896853146848,0.0210916145033774,1,NORMAL,1,
2023-03-17,0.4530063810850994,0.5469936189149006,high_vol,0.1859337225794156,0.2070645554202192,0.5185751748251748,black_litterman_cvar,0.1201345365695239,0.2321896853146848,0.0211308328408036,0,NORMAL,1,
2023-03-20,0.4530063810850994,0.5469936189149006,high_vol,0.1883087158999803,0.2070645554202192,0.5185751748251748,black_litterman_cvar,0.1192806032653563,0.2321896853146848,0.0187558395202389,1,NORMAL,1,
2023-03-21,0.4530063810850994,0.5469936189149006,high_vol,0.188252164140289,0.2070645554202192,0.5185751748251748,black_litterman_cvar,0.1176723659969769,0.2321896853146848,0.0188123912799302,1,NORMAL,1,
2023-03-22,0.419999999982578,0.5800000000174221,high_vol,0.1791870529810308,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1137957697456746,1.0,0.0278775024391884,0,NORMAL,1,
2023-03-23,0.419999999982578,0.5800000000174221,high_vol,0.1973659714852964,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1119187409430251,1.0,0.0096985839349228,1,NORMAL,1,
2023-03-24,0.419999999982578,0.5800000000174221,high_vol,0.1916594810227096,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1106247498616955,1.0,0.0154050743975096,1,NORMAL,1,
2023-03-27,0.419999999982578,0.5800000000174221,high_vol,0.200525976237145,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1105895858795536,1.0,0.0065385791830742,1,NORMAL,1,
2023-03-28,0.419999999982578,0.5800000000174221,high_vol,0.1829769768315755,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.108579335578429,1.0,0.0240875785886437,1,NORMAL,1,
2023-03-29,0.419999999982578,0.5800000000174221,high_vol,0.2000943841878887,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1076610948331228,1.0,0.0069701712323305,1,NORMAL,1,
2023-03-30,0.419999999982578,0.5800000000174221,high_vol,0.1803558118911524,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1072840637077322,1.0,0.0267087435290667,1,NORMAL,1,
2023-03-31,0.419999999982578,0.5800000000174221,high_vol,0.1925554752882201,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1072225604189407,1.0,0.0145090801319991,1,NORMAL,1,
2023-04-03,0.419999999982578,0.5800000000174221,high_vol,0.1906497296697053,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.1058460568469038,1.0,0.0164148257505138,1,NORMAL,1,
2023-04-04,0.419999999982578,0.5800000000174221,high_vol,0.1995426561428786,0.2070645554202192,0.6043591074208614,black_litterman_cvar,0.105299580721463,1.0,0.0075218992773405,1,NORMAL,1,
