Date,Ticker,weight,alpha_state,alpha_state_display,fusion_live,budget_mult,source_alpha_date,alpha_quality_ok,alpha_drift_ok,alpha_trial_gate_open,alpha_fused_gate_open,alpha_promotion_ready,alpha_blocker_text,part3_version,run_utc
2023-09-05,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-09-05,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-09-14,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-09-14,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-09-14,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-09-14,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-09-14,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-09-14,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-09-25,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-09-25,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-09-25,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-09-25,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-09-25,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-09-25,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-04,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-04,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-04,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-04,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-13,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-13,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-13,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-24,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-24,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-24,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-24,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-10-24,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-10-24,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-02,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-02,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-02,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-02,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-02,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-02,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-13,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-13,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-13,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-13,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-22,IEF_CORE,0.4,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-22,SMH,0.04,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
2023-11-22,VOO_CORE,0.5599999999999999,LIVE_FUSED,LIVE_FUSED,1,1.0,2023-11-22,1,1,1,1,1,NONE,V1,2026-03-12T06:56:06Z
